"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10726","test_filter_category[Measures]","api","Mon Apr 20 07:23:00 UTC 2026","broken","Mon Apr 20 07:23:11 UTC 2026","","test_filter_hand_tools","",""
"","10682","test_search_product","api","Mon Apr 20 07:24:05 UTC 2026","broken","Mon Apr 20 07:24:16 UTC 2026","","test_search_product","",""
"","374","test_create_user_ddt[DongChan Lee-QA Lead-201]","api","Mon Apr 20 07:22:29 UTC 2026","passed","Mon Apr 20 07:22:29 UTC 2026","","test_api_ddt","",""
"","10918","test_filter_category[Screwdriver]","api","Mon Apr 20 07:22:46 UTC 2026","broken","Mon Apr 20 07:22:57 UTC 2026","","test_filter_hand_tools","",""
"","10760","test_filter_category[Wrench]","api","Mon Apr 20 07:22:55 UTC 2026","broken","Mon Apr 20 07:23:05 UTC 2026","","test_filter_hand_tools","",""
"","10733","test_filter_category[Power Tools]","api","Mon Apr 20 07:23:17 UTC 2026","broken","Mon Apr 20 07:23:28 UTC 2026","","test_filter_hand_tools","",""
"","10759","test_filter_category[Hammer]","api","Mon Apr 20 07:22:49 UTC 2026","broken","Mon Apr 20 07:23:00 UTC 2026","","test_filter_hand_tools","",""
"","10732","test_filter_category[Saw]","api","Mon Apr 20 07:23:12 UTC 2026","broken","Mon Apr 20 07:23:22 UTC 2026","","test_filter_hand_tools","",""
"","379","test_create_user_and_verify_db","api","Mon Apr 20 07:23:45 UTC 2026","passed","Mon Apr 20 07:23:45 UTC 2026","","test_integration","",""
"","10734","test_filter_category[Tool Belts]","api","Mon Apr 20 07:23:20 UTC 2026","broken","Mon Apr 20 07:23:31 UTC 2026","","test_filter_hand_tools","",""
"","10749","test_filter_category[MightyCraft Hardware]","api","Mon Apr 20 07:23:40 UTC 2026","broken","Mon Apr 20 07:23:50 UTC 2026","","test_filter_hand_tools","",""
"","10739","test_filter_category[Fasteners]","api","Mon Apr 20 07:23:31 UTC 2026","broken","Mon Apr 20 07:23:42 UTC 2026","","test_filter_hand_tools","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","233","test_login_multiple_failures[TC-05: \uc874\uc7ac\ud558\uc9c0 \uc54a\ub294 \uc720\uc800-ghost_user-emilyspass-400]","api","Mon Apr 20 07:22:29 UTC 2026","passed","Mon Apr 20 07:22:29 UTC 2026","","postman_test","",""
"TC-03: 발금받은 토큰(카드키)으로 내 정보를 성공적으로 조회한다.(토큰 연동해서 내 정보 조회 통과)","954","test_get_my_info_with_token","api","Mon Apr 20 07:22:30 UTC 2026","passed","Mon Apr 20 07:22:30 UTC 2026","","postman_test","",""
"","10817","test_filter_category[Chisels]","api","Mon Apr 20 07:22:49 UTC 2026","broken","Mon Apr 20 07:23:00 UTC 2026","","test_filter_hand_tools","",""
"","1","test_verify_user_in_local_db","api","Mon Apr 20 07:22:29 UTC 2026","broken","Mon Apr 20 07:22:29 UTC 2026","","postman_test","",""
"","10784","test_filter_category[Pliers]","api","Mon Apr 20 07:22:57 UTC 2026","broken","Mon Apr 20 07:23:08 UTC 2026","","test_filter_hand_tools","",""
" TC-01: 정상 로그인 시 200 OK와 토큰을 발급받는지 확인한다.(로그인 통과)","306","test_login_success","api","Mon Apr 20 07:22:28 UTC 2026","passed","Mon Apr 20 07:22:29 UTC 2026","","postman_test","",""
"","11039","test_filter_category[Hand Saw]","api","Mon Apr 20 07:22:43 UTC 2026","broken","Mon Apr 20 07:22:54 UTC 2026","","test_filter_hand_tools","",""
"","10754","test_filter_category[Grinder]","api","Mon Apr 20 07:23:06 UTC 2026","broken","Mon Apr 20 07:23:17 UTC 2026","","test_filter_hand_tools","",""
"","537","test_saucedemo_login_negative[standard_user-wrong_pw_123-Username and password do not match any user in this service]","api","Mon Apr 20 07:23:51 UTC 2026","passed","Mon Apr 20 07:23:51 UTC 2026","","test_negative_login","",""
