"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_verify_user_in_local_db","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","postman_test","",""
"","549","test_saucedemo_login_negative[standard_user-wrong_pw_123-Username and password do not match any user in this service]","api","Wed Apr 15 13:27:23 UTC 2026","passed","Wed Apr 15 13:27:23 UTC 2026","","test_negative_login","",""
"","175","test_login_and_get_info","api","Wed Apr 15 13:22:58 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","login_test","",""
"TC-02: 비밀번호가 틀렸을 때 400 에러와 안내 메시지가 오는지 확인한다.(비밀번호 에러 방어 통과)","91","test_login_fail_wrong_password","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","postman_test","",""
"","10710","test_filter_category[Workbench]","api","Wed Apr 15 13:26:03 UTC 2026","broken","Wed Apr 15 13:26:14 UTC 2026","","test_filter_hand_tools","",""
"","10695","test_filter_category[Saw]","api","Wed Apr 15 13:25:07 UTC 2026","broken","Wed Apr 15 13:25:18 UTC 2026","","test_filter_hand_tools","",""
"","534","test_saucedemo_login_negative[locked_out_user-secret_sauce-Sorry, this user has been locked out]","api","Wed Apr 15 13:27:22 UTC 2026","passed","Wed Apr 15 13:27:22 UTC 2026","","test_negative_login","",""
"","10733","test_filter_category[Pliers]","api","Wed Apr 15 13:24:00 UTC 2026","broken","Wed Apr 15 13:24:11 UTC 2026","","test_filter_hand_tools","",""
" TC-01: 정상 로그인 시 200 OK와 토큰을 발급받는지 확인한다.(로그인 통과)","86","test_login_success","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","postman_test","",""
"","10744","test_filter_category[MightyCraft Hardware]","api","Wed Apr 15 13:26:59 UTC 2026","broken","Wed Apr 15 13:27:10 UTC 2026","","test_filter_hand_tools","",""
"","488","test_saucedemo_login_negative[-secret_sauce-Username is required]","api","Wed Apr 15 13:27:24 UTC 2026","passed","Wed Apr 15 13:27:24 UTC 2026","","test_negative_login","",""
"","990","test_saucedemo_checkout_e2e","api","Wed Apr 15 13:23:14 UTC 2026","passed","Wed Apr 15 13:23:15 UTC 2026","","test_commerce_e2e","",""
"","125","test_create_new_user","api","Wed Apr 15 13:23:00 UTC 2026","passed","Wed Apr 15 13:23:00 UTC 2026","","test_api_post","",""
"","10732","test_filter_category[Chisels]","api","Wed Apr 15 13:24:11 UTC 2026","broken","Wed Apr 15 13:24:22 UTC 2026","","test_filter_hand_tools","",""
"","238","test_get_user_list","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:23:00 UTC 2026","","test_api_basic","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","81","test_login_multiple_failures[TC-04: \ube44\ubc00\ubc88\ud638 \ud2c0\ub9bc-emilys-wrongpass-400]","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","postman_test","",""
"","10719","test_filter_category[Other]","api","Wed Apr 15 13:26:37 UTC 2026","broken","Wed Apr 15 13:26:47 UTC 2026","","test_filter_hand_tools","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","71","test_login_multiple_failures[TC-06: \ube44\ubc00\ubc88\ud638 \ube48\uce78-emilys--400]","api","Wed Apr 15 13:22:59 UTC 2026","passed","Wed Apr 15 13:22:59 UTC 2026","","postman_test","",""
"","10720","test_filter_category[Measures]","api","Wed Apr 15 13:24:22 UTC 2026","broken","Wed Apr 15 13:24:33 UTC 2026","","test_filter_hand_tools","",""
"","10736","test_filter_category[Wrench]","api","Wed Apr 15 13:23:37 UTC 2026","broken","Wed Apr 15 13:23:48 UTC 2026","","test_filter_hand_tools","",""
"","10701","test_filter_category[Tool Belts]","api","Wed Apr 15 13:25:41 UTC 2026","broken","Wed Apr 15 13:25:51 UTC 2026","","test_filter_hand_tools","",""
"","10738","test_filter_category[Screwdriver]","api","Wed Apr 15 13:23:49 UTC 2026","broken","Wed Apr 15 13:23:59 UTC 2026","","test_filter_hand_tools","",""
"","8066","test_fast_checkout_with_api_login","api","Wed Apr 15 13:23:05 UTC 2026","passed","Wed Apr 15 13:23:13 UTC 2026","","test_checkout_hybrid","",""
"","122","test_2_delete_user","api","Wed Apr 15 13:23:00 UTC 2026","passed","Wed Apr 15 13:23:00 UTC 2026","","test_api_put_delete","",""
