"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","test_login_fail","api","Tue Mar 24 08:46:04 UTC 2026","passed","Tue Mar 24 08:46:05 UTC 2026","","login_test","",""
"","281","test_login_and_get_info","api","Tue Mar 24 08:46:04 UTC 2026","passed","Tue Mar 24 08:46:04 UTC 2026","","login_test","",""
"","1260","test_cart_badge","api","Tue Mar 24 08:46:06 UTC 2026","passed","Tue Mar 24 08:46:08 UTC 2026","","test_cart_badge","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","123","test_login_multiple_failures[TC-04: \ube44\ubc00\ubc88\ud638 \ud2c0\ub9bc-emilys-wrongpass-400]","api","Tue Mar 24 08:46:05 UTC 2026","passed","Tue Mar 24 08:46:06 UTC 2026","","postman_test","",""
"","1","test_verify_user_in_local_db","api","Tue Mar 24 08:46:06 UTC 2026","passed","Tue Mar 24 08:46:06 UTC 2026","","postman_test","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","123","test_login_multiple_failures[TC-06: \ube44\ubc00\ubc88\ud638 \ube48\uce78-emilys--400]","api","Tue Mar 24 08:46:06 UTC 2026","passed","Tue Mar 24 08:46:06 UTC 2026","","postman_test","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","120","test_login_multiple_failures[TC-05: \uc874\uc7ac\ud558\uc9c0 \uc54a\ub294 \uc720\uc800-ghost_user-emilyspass-400]","api","Tue Mar 24 08:46:06 UTC 2026","passed","Tue Mar 24 08:46:06 UTC 2026","","postman_test","",""
" TC-01: 정상 로그인 시 200 OK와 토큰을 발급받는지 확인한다.(로그인 통과)","240","test_login_success","api","Tue Mar 24 08:46:05 UTC 2026","passed","Tue Mar 24 08:46:05 UTC 2026","","postman_test","",""
"","1254","test_checkout","","Tue Mar 24 08:46:10 UTC 2026","failed","Tue Mar 24 08:46:11 UTC 2026","","","",""
"TC-03: 발금받은 토큰(카드키)으로 내 정보를 성공적으로 조회한다.(토큰 연동해서 내 정보 조회 통과)","373","test_get_my_info_with_token","api","Tue Mar 24 08:46:05 UTC 2026","passed","Tue Mar 24 08:46:05 UTC 2026","","postman_test","",""
"","1225","test_saucedemo_price_validation","api","Tue Mar 24 08:46:08 UTC 2026","passed","Tue Mar 24 08:46:09 UTC 2026","","test_cart_price_validation","",""
"","833","test_full_e2e_scenario","api","Tue Mar 24 08:46:03 UTC 2026","passed","Tue Mar 24 08:46:04 UTC 2026","","e2e_test","",""
"TC-02: 비밀번호가 틀렸을 때 400 에러와 안내 메시지가 오는지 확인한다.(비밀번호 에러 방어 통과)","126","test_login_fail_wrong_password","api","Tue Mar 24 08:46:05 UTC 2026","passed","Tue Mar 24 08:46:05 UTC 2026","","postman_test","",""
