"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10806","test_filter_category[Screwdriver]","api","Wed Apr 15 08:05:32 UTC 2026","broken","Wed Apr 15 08:05:43 UTC 2026","","test_filter_hand_tools","",""
"","10749","test_filter_category[Hand Tools]","api","Wed Apr 15 08:06:18 UTC 2026","broken","Wed Apr 15 08:06:29 UTC 2026","","test_filter_hand_tools","",""
"","1056","test_saucedemo_checkout_e2e","api","Wed Apr 15 08:04:57 UTC 2026","passed","Wed Apr 15 08:04:58 UTC 2026","","test_commerce_e2e","",""
"","1188","test_checkout","api","Wed Apr 15 08:04:47 UTC 2026","passed","Wed Apr 15 08:04:48 UTC 2026","","test_checkout","",""
"","1","test_verify_user_in_local_db","api","Wed Apr 15 08:04:42 UTC 2026","passed","Wed Apr 15 08:04:42 UTC 2026","","postman_test","",""
"","10779","test_filter_category[Sander]","api","Wed Apr 15 08:06:40 UTC 2026","broken","Wed Apr 15 08:06:51 UTC 2026","","test_filter_hand_tools","",""
"","8147","test_fast_checkout_with_api_login","api","Wed Apr 15 08:04:48 UTC 2026","passed","Wed Apr 15 08:04:56 UTC 2026","","test_checkout_hybrid","",""
"","1167","test_saucedemo_price_validation","api","Wed Apr 15 08:04:45 UTC 2026","passed","Wed Apr 15 08:04:46 UTC 2026","","test_cart_price_validation","",""
" TC-01: 정상 로그인 시 200 OK와 토큰을 발급받는지 확인한다.(로그인 통과)","215","test_login_success","api","Wed Apr 15 08:04:40 UTC 2026","passed","Wed Apr 15 08:04:41 UTC 2026","","postman_test","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","181","test_login_multiple_failures[TC-04: \ube44\ubc00\ubc88\ud638 \ud2c0\ub9bc-emilys-wrongpass-400]","api","Wed Apr 15 08:04:41 UTC 2026","passed","Wed Apr 15 08:04:41 UTC 2026","","postman_test","",""
"","10841","test_filter_category[Power Tools]","api","Wed Apr 15 08:07:14 UTC 2026","broken","Wed Apr 15 08:07:25 UTC 2026","","test_filter_hand_tools","",""
"","294","test_get_user_list","api","Wed Apr 15 08:04:42 UTC 2026","passed","Wed Apr 15 08:04:42 UTC 2026","","test_api_basic","",""
"","10829","test_search_product","api","Wed Apr 15 08:09:11 UTC 2026","broken","Wed Apr 15 08:09:22 UTC 2026","","test_search_product","",""
"TC-02: 비밀번호가 틀렸을 때 400 에러와 안내 메시지가 오는지 확인한다.(비밀번호 에러 방어 통과)","217","test_login_fail_wrong_password","api","Wed Apr 15 08:04:41 UTC 2026","passed","Wed Apr 15 08:04:41 UTC 2026","","postman_test","",""
"","613","test_saucedemo_login_negative[locked_out_user-secret_sauce-Sorry, this user has been locked out]","api","Wed Apr 15 08:09:08 UTC 2026","passed","Wed Apr 15 08:09:08 UTC 2026","","test_negative_login","",""
"","10754","test_filter_category[Safety Gear]","api","Wed Apr 15 08:08:00 UTC 2026","broken","Wed Apr 15 08:08:11 UTC 2026","","test_filter_hand_tools","",""
"","1096","test_drop_box_sort","api","Wed Apr 15 08:09:22 UTC 2026","passed","Wed Apr 15 08:09:24 UTC 2026","","test_sorting","",""
"","861","test_cart_badge","api","Wed Apr 15 08:04:44 UTC 2026","passed","Wed Apr 15 08:04:44 UTC 2026","","test_cart_badge","",""
"","10809","test_filter_category[ForgeFlex Tools]","api","Wed Apr 15 08:08:34 UTC 2026","broken","Wed Apr 15 08:08:45 UTC 2026","","test_filter_hand_tools","",""
"","10803","test_filter_category[Grinder]","api","Wed Apr 15 08:06:29 UTC 2026","broken","Wed Apr 15 08:06:40 UTC 2026","","test_filter_hand_tools","",""
"","10826","test_filter_category[Chisels]","api","Wed Apr 15 08:05:55 UTC 2026","broken","Wed Apr 15 08:06:06 UTC 2026","","test_filter_hand_tools","",""
"","1606","test_google_selenium","tests","Wed Apr 15 08:09:24 UTC 2026","passed","Wed Apr 15 08:09:26 UTC 2026","","test_google","",""
"","600","test_saucedemo_login_negative[-secret_sauce-Username is required]","api","Wed Apr 15 08:09:10 UTC 2026","passed","Wed Apr 15 08:09:11 UTC 2026","","test_negative_login","",""
"","299","test_create_new_user","api","Wed Apr 15 08:04:42 UTC 2026","passed","Wed Apr 15 08:04:42 UTC 2026","","test_api_post","",""
"","10825","test_filter_category[Tool Belts]","api","Wed Apr 15 08:07:26 UTC 2026","broken","Wed Apr 15 08:07:37 UTC 2026","","test_filter_hand_tools","",""
"","10777","test_filter_category[Show only eco-friendly products]","api","Wed Apr 15 08:08:56 UTC 2026","broken","Wed Apr 15 08:09:07 UTC 2026","","test_filter_hand_tools","",""
"","10808","test_filter_category[Drill]","api","Wed Apr 15 08:07:03 UTC 2026","broken","Wed Apr 15 08:07:14 UTC 2026","","test_filter_hand_tools","",""
"","1211","test_login_and_get_info","api","Wed Apr 15 08:04:39 UTC 2026","passed","Wed Apr 15 08:04:40 UTC 2026","","login_test","",""
"","10809","test_filter_category[Workbench]","api","Wed Apr 15 08:07:48 UTC 2026","broken","Wed Apr 15 08:07:59 UTC 2026","","test_filter_hand_tools","",""
"","10792","test_filter_category[Pliers]","api","Wed Apr 15 08:05:44 UTC 2026","broken","Wed Apr 15 08:05:55 UTC 2026","","test_filter_hand_tools","",""
